公众号,链接,标题,错误类型,错误信息,记录时间
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800964&idx=1&sn=f7aa5a4077417e3e21dd5bec5ef598c0&chksm=847e10cab30999dc61b9d77de541c0d16795d1ff7c41a5cba1e8ac5f0d37259c786b46002989,1299分登顶！阿里“欢乐马”拿下视频编辑榜第一，超越Grok,解析异常,未提取日期,2026-04-16 03:16:39
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800971&idx=1&sn=aca29a933a3c1e9c30b65e981b21dde3&chksm=847e10c5b30999d33919473f74573723d8f91091ae9c66603afef5ed754dbf5f0277c5bf4e25,龙虾之后，Hermes Agent“一键部署”潮来了,解析异常,未提取日期,2026-04-16 03:16:39
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800977&idx=1&sn=a7a4552777870334f527ba85efc149e5&chksm=847e10dfb30999c9d2111c8bb6111b358033360098f7d09e60641a5f13d5de09208e0104f42b,龙虾之后，Hermes Agent“一键部署”潮来了,解析异常,未提取日期,2026-04-16 03:16:39
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800979&idx=1&sn=f5ba20fad3ddcafb21f995d76c94ca48&chksm=847e10ddb30999cb9008c05e2186c7f2d59b7e8de5ae2d572de2e478ca6f6bfa2a7024d66e5a,龙虾之后，Hermes Agent“一键部署”潮来了,解析异常,未提取日期,2026-04-16 03:16:39
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800981&idx=1&sn=e688832386e7cd16cd373a5899039cb9&chksm=847e10dbb30999cd0c88ca75f594ab81d2a5d827c0a9eb7abbecc5e4d140a349d8c699f97d35,龙虾之后，Hermes Agent“一键部署”潮来了,解析异常,未提取日期,2026-04-16 03:16:39
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800983&idx=1&sn=29fb7635d88063f77033a69638ae4547&chksm=847e10d9b30999cfe9e5ba509b3aa23a67c30338ab99ec12f2ba17bbc36df9b279464926b797,龙虾之后，Hermes Agent“一键部署”潮来了,解析异常,未提取日期,2026-04-16 03:16:39
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800921&idx=1&sn=5c13bbf92202d0ba4527dd6ae883aaaa&chksm=847e1097b3099981186076960b258da5839f63d2273325df018ead4cd1b80eedbbecbc47bcca,机器人学会看仪表盘干活了！谷歌深夜放大招，任务成功率狂飙至93%,解析异常,未提取日期,2026-04-16 03:32:34
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800931&idx=1&sn=033da79c65dc7ecc1c221fa67f72fd43&chksm=847e10adb30999bb892b86c5206b2c5fac9ef4ebe68ab3a7a914b27608f6a39bd5fed615f294,龙虾之后，Hermes Agent“一键部署”潮来了,解析异常,未提取日期,2026-04-16 03:32:34
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800940&idx=1&sn=94912ee5648b43e5aaf05f0605b31cec&chksm=847e10a2b30999b4f1605eea0ea905283965ec87d0d72f9046e3fa304059f3ee0b3e7477085b,李飞飞又开源了！这次她让网页3D大场景“秒开”，在手机上就能看,解析异常,未提取日期,2026-04-16 03:32:34
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800802&idx=1&sn=72a825f740e37d8a15240d7f2d375751&chksm=847e102cb309993a0475cec58ccbe2e0be045f9dc74f0e7fbe8f98bdb47e266c88e6a1d76a47,创业失败13次后，他卖给了OpenAI,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800804&idx=1&sn=2753c33b47a728a058c54baa88735970&chksm=847e102ab309993cdb042ff78a2190202452348a7935312c6d0eabfed4e0345783854bee8b9f,创业失败13次后，他卖给了OpenAI,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800806&idx=1&sn=501fc053a38a1a5ce0209fad6e747270&chksm=847e1028b309993e49bc10147d4ce72c9f186777f7e138aa706cf832480be1c59def72d4f2fa,创业失败13次后，他卖给了OpenAI,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800808&idx=1&sn=1c2bbfe251bf72341488579e6f267a5e&chksm=847e1026b3099930aef983b2bfcc4b0db58fe7b74ee93f5a1f2e3abedaeaa864a266a6ac6f55,刚刚，OpenAI收购一家创企，“算计”你兜里的钱,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800826&idx=1&sn=39e6d49dcdd9c4c7ee5d12c7ebf6b414&chksm=847e1034b3099922eac6fcfea04b35bc035a9b6e961d81d7d401331e6938d5b755f28a3aa00b,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800828&idx=1&sn=ef59b8726df8cefa9ea1c9c4188f18d7&chksm=847e1032b3099924220777e16aa13df7cb1871865bff26efb6aad4ab2626bad156a93b94e917,svg测试,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800830&idx=1&sn=7061d32eeccf58d7b8272c7893223825&chksm=847e1030b309992612c4d87e349fb9214a6a7da4a79dbe741baf3fa9a1f50f8bc9215ba7defc,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800832&idx=1&sn=59d8bba84a2aba601b34952377df5611&chksm=847e104eb3099958f87d8dd82f69b1030c54e84d7084460f2594996264040420064f031d86be,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800834&idx=1&sn=6cc1fcc20e23fbade8df86b194cb1254&chksm=847e104cb309995a25921b61268ecb752dab81e5e63c58ae9d78c74b94120f08ad5632e8eea7,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800836&idx=1&sn=c63ccb6d2d9dd185ae1b73331e32c28d&chksm=847e104ab309995c4f4f5d39ccb9a17c8fe34bb46ec1a1ef3f285feb078c6b7e97b7fd84b9bc,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800838&idx=1&sn=3c498085505df4ac981814edeb1eb2f9&chksm=847e1048b309995ecec0fc47af4f694e882ef843bc0ef677a9aa39b558d5fb5abdf2da88c246,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800840&idx=1&sn=7b0993c6e96e33918833dda8ff53be94&chksm=847e1046b3099950211d9d38068347aa736358cb29390367f64496f05eb68b85c2a392cbdc2d,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800842&idx=1&sn=a1c4d3a6048ac024689de180aa4a0a3e&chksm=847e1044b3099952b31fe4037eb62aa378d0aaf7d4d4ee649f2b8cd60b41bcf1d9f3cd8f7b2e,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800844&idx=1&sn=563ba993e791e249259960b07bb38bcd&chksm=847e1042b30999547d427f2764be06ca38c1b16d352d6b06c3e22684bdcb65ac45aa0e238945,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800846&idx=1&sn=1c594e0124c34e00abe62c6718cfa1eb&chksm=847e1040b3099956e2753e4179b62d402376617e397ac590d822597b7d106ced7ef8d9436122,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800848&idx=1&sn=bb60d37797a0006b1c3469f5ea4159a5&chksm=847e105eb3099948a866762f1a06f83bb27fe2d921705daff0e96d0561e86c2214954dc22063,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800850&idx=1&sn=669fa6a3fbcda065803fd9bfbbf10f40&chksm=847e105cb309994ad1fc57c77d7b39764d6cdfc921a3bd44190a0f2222f095eea44eed6013d0,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800852&idx=1&sn=8f875e846860fd3be7776710232ed1f9&chksm=847e105ab309994cf37d50237ea6bfcdfb766e6bcac00b402dfe9de1353f936f926d5263ba66,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800854&idx=1&sn=b4f55b625d18733c8c0793ae9149f0f3&chksm=847e1058b309994e8f174ebd7d5e58b735a1db88ea7fcf5dceb86c082ca3b94decf8f85b77d2,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800856&idx=1&sn=c1350f4ba039d72dd6ffc54a06906f9b&chksm=847e1056b3099940c85963d024ca7bcb34c0f18b35d49b55e86f32cc14c41985ebab110c9f5c,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800858&idx=1&sn=94a07b395843ebf7e6351f9ff1845395&chksm=847e1054b30999427568a6d53a8dd889e163a02c2f30f6adc30692797f4634a476fd28ba1218,中科院“师兄弟”冲刺港股：做AI决策，干到全国第一，毛利率超50%,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800873&idx=1&sn=7f202fefd5cafda5e5391273f146cc58&chksm=847e1067b3099971894981e762ba42e3e06918ed2ac05fbaf6f9bd28d8ba167f6a102fc9141a,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800875&idx=1&sn=9b04f9d24cd0a64bc454a1300349e24f&chksm=847e1065b3099973839ab956b294f926c55a29a3aa7560db650fffec03558c13700684d1b38a,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800884&idx=1&sn=e34bf8f60eb72aa4910174b75b778561&chksm=847e107ab309996c271786eef0b1736b3171cc7993126dd683edf4b9e5dfedaef4267bd879d9,CEO紧急组队，微软也要造“龙虾”了？,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800886&idx=1&sn=525a836f4f1f3e15c5030b32d4941c57&chksm=847e1078b309996e06c8306af6bcf2008004271ad75a38b1200f4f0cb143076cb6eeb44cfdc1,微软龙虾计划曝光！纳德拉紧急拉12人精锐，挥刀重组Copilot，与Claude夺市场,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800903&idx=1&sn=de7cc14ad264e8cdb199bd5d37000221&chksm=847e1089b309999f170de5d772a81835f5f65608a5c7993e86a59dbd9b2f6b5e7afd583ba845,救命！我的老板是个AI，它正通过摄像头看我玩手机,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800906&idx=1&sn=7b2d5b25beb9ae85b000a72c7e0927d4&chksm=847e1084b3099992656a54ae88137e465c1dd429e73e0b3671c0a243fbc12811cd10938bc224,穿Prada的女魔头花了100万刀买服装，Vidu Q3用「参考生」把它变成了标配,解析异常,未提取日期,2026-04-16 07:31:49
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800806&idx=1&sn=501fc053a38a1a5ce0209fad6e747270&chksm=847e1028b309993e49bc10147d4ce72c9f186777f7e138aa706cf832480be1c59def72d4f2fa,创业失败13次后，他卖给了OpenAI,解析异常,未提取日期,2026-04-16 08:13:26
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800828&idx=1&sn=ef59b8726df8cefa9ea1c9c4188f18d7&chksm=847e1032b3099924220777e16aa13df7cb1871865bff26efb6aad4ab2626bad156a93b94e917,svg测试,解析异常,未提取日期,2026-04-16 08:13:26
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800858&idx=1&sn=94a07b395843ebf7e6351f9ff1845395&chksm=847e1054b30999427568a6d53a8dd889e163a02c2f30f6adc30692797f4634a476fd28ba1218,中科院“师兄弟”冲刺港股：做AI决策，干到全国第一，毛利率超50%,解析异常,未提取日期,2026-04-16 08:13:26
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800875&idx=1&sn=9b04f9d24cd0a64bc454a1300349e24f&chksm=847e1065b3099973839ab956b294f926c55a29a3aa7560db650fffec03558c13700684d1b38a,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 08:13:26
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800884&idx=1&sn=e34bf8f60eb72aa4910174b75b778561&chksm=847e107ab309996c271786eef0b1736b3171cc7993126dd683edf4b9e5dfedaef4267bd879d9,CEO紧急组队，微软也要造“龙虾”了？,解析异常,未提取日期,2026-04-16 08:13:26
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800903&idx=1&sn=de7cc14ad264e8cdb199bd5d37000221&chksm=847e1089b309999f170de5d772a81835f5f65608a5c7993e86a59dbd9b2f6b5e7afd583ba845,救命！我的老板是个AI，它正通过摄像头看我玩手机,解析异常,未提取日期,2026-04-16 08:13:26
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800906&idx=1&sn=7b2d5b25beb9ae85b000a72c7e0927d4&chksm=847e1084b3099992656a54ae88137e465c1dd429e73e0b3671c0a243fbc12811cd10938bc224,穿Prada的女魔头花了100万刀买服装，Vidu Q3用「参考生」把它变成了标配,解析异常,未提取日期,2026-04-16 08:13:26
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800806&idx=1&sn=501fc053a38a1a5ce0209fad6e747270&chksm=847e1028b309993e49bc10147d4ce72c9f186777f7e138aa706cf832480be1c59def72d4f2fa,创业失败13次后，他卖给了OpenAI,解析异常,未提取日期,2026-04-16 08:16:33
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800828&idx=1&sn=ef59b8726df8cefa9ea1c9c4188f18d7&chksm=847e1032b3099924220777e16aa13df7cb1871865bff26efb6aad4ab2626bad156a93b94e917,svg测试,解析异常,未提取日期,2026-04-16 08:16:33
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800858&idx=1&sn=94a07b395843ebf7e6351f9ff1845395&chksm=847e1054b30999427568a6d53a8dd889e163a02c2f30f6adc30692797f4634a476fd28ba1218,中科院“师兄弟”冲刺港股：做AI决策，干到全国第一，毛利率超50%,解析异常,未提取日期,2026-04-16 08:16:33
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800875&idx=1&sn=9b04f9d24cd0a64bc454a1300349e24f&chksm=847e1065b3099973839ab956b294f926c55a29a3aa7560db650fffec03558c13700684d1b38a,教育界来了AI龙虾！帮老师做教案、给学生辅导作业，更懂教育的智能体来了？,解析异常,未提取日期,2026-04-16 08:16:33
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800884&idx=1&sn=e34bf8f60eb72aa4910174b75b778561&chksm=847e107ab309996c271786eef0b1736b3171cc7993126dd683edf4b9e5dfedaef4267bd879d9,CEO紧急组队，微软也要造“龙虾”了？,解析异常,未提取日期,2026-04-16 08:16:33
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800903&idx=1&sn=de7cc14ad264e8cdb199bd5d37000221&chksm=847e1089b309999f170de5d772a81835f5f65608a5c7993e86a59dbd9b2f6b5e7afd583ba845,救命！我的老板是个AI，它正通过摄像头看我玩手机,解析异常,未提取日期,2026-04-16 08:16:33
智东西,https://mp.weixin.qq.com/s?__biz=MzA4MTQ4NjQzMw==&mid=2652800906&idx=1&sn=7b2d5b25beb9ae85b000a72c7e0927d4&chksm=847e1084b3099992656a54ae88137e465c1dd429e73e0b3671c0a243fbc12811cd10938bc224,穿Prada的女魔头花了100万刀买服装，Vidu Q3用「参考生」把它变成了标配,解析异常,未提取日期,2026-04-16 08:16:33
量子位,https://mp.weixin.qq.com/s/o2rdOo24NnCSmwlWZXGMMw,和闫俊杰一起敲钟的她：31岁，身价48亿,解析异常,未提取日期,2026-04-16 20:12:46
量子位,https://mp.weixin.qq.com/s/zmOlSaYXTyypUp2eT3gchg,蚂蚁抛弃向量推荐！用8B小模型构建「用户“话”像」，实现跨模型通用并拿下SOTA,解析异常,未提取日期,2026-04-16 20:12:46
新智元,https://mp.weixin.qq.com/s/LUbih7OOqXhONVShFCsvkQ,美国AI一骑绝尘，中国平均落后7个月！Epoch AI新报告出炉,解析异常,未提取日期,2026-04-16 21:03:10
DeepTech深科技,https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&tempkey=MTM3MF8yaWExcnY2c1lqRUVCSmVsVlNXOVJpeVhwZWFoZlBLVURFYm5VNjNYcU14QkZaZUpZS3Rad05mWXNlM2JRUmw5bFgzT2I1djRGRTRyZkwxb05Hd1EtNkxDRk1rMW1pMFBKN0x2b01oYTJBbWdqMnBCbjJNTEVGLWZLYXpzMmR5ZmVvQV9kTWxkb0Q1VmYtM0g2OG1jSzJEMVMwU3lud0QwUHB0akt3fn4%3D&chksm=877784dcb0000dcae14b093ca09d8abde309b0142121065d60740bd700ac1b84443d1f9d45dc,为什么中国要一口气申报20万颗卫星？,解析异常,未提取日期,2026-04-16 21:16:11
DeepTech深科技,https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&tempkey=MTM3MF82NllOQVVrdWNkZXRlZEREVlNXOVJpeVhwZWFoZlBLVURFYm5VNjNYcU14QkZaZUpZS3Rad05mWXNlMkxSeE5zZjlzWUxJeGhRbXNKU0NrTkZHZ0NKVHVUaFY3RlQ3RlNFR1BTRDFRR0V4ZG83Y2xzamdWZmtEdHo1RUZBQS1OVnoyUnZma21vaF9pOFVmY3BQT0JDeEtWUm9fSUJsQ0JKT2JyUFhBfn4%3D&chksm=877784dcb0000dcac814a0e79ff9fd195ea0491d4c69a9bf401da91ab566306617fc65e8d898,上交00后和团队造出机器人眼球，让机器人也有主动视觉系统,解析异常,未提取日期,2026-04-16 21:16:11
DeepTech深科技,https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&tempkey=MTM3MF9WS3F5SzBoRVNUbi9YMm9yVlNXOVJpeVhwZWFoZlBLVURFYm5VNjNYcU14QkZaZUpZS3Rad05mWXNlMnpDeVZyWm9EdXFOREFwaC1vVXdTcHVna1BEWVMzb1dFUWVaTEZHWUZEckJVT1BsX0dyX1RwQ1hDZC02ZTItQTFUalFKRjhmclVRR3h5c2YyNTVMd2NQR1dlYUxLMTFZU2VfZWdFU29fOUNnfn4%3D&chksm=87778528b0000c3e014af2e62b062b0358d7909084257781f0a941d2d49eb9d0d9fb92f5e343,哈佛辍学生挑战英伟达！靠一块AI芯片狂揽50亿美元估值,解析异常,未提取日期,2026-04-16 21:16:11
DeepTech深科技,https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&tempkey=MTM3MF93Um1TdVBMTTJvbUpWSFRlVlNXOVJpeVhwZWFoZlBLVURFYm5VNjNYcU14QkZaZUpZS3Rad05mWXNlMWdJZ0h0SGNRYW8xdWZRQnExWHBNVjlMVjJlN3ZDQUFKTDI2UUVyYUJQSmJac0xLTGd6ZTVvMHMzbnJjTWVDdVhxejB2eEZOVnZfVDZHOVF4UjRCQUFzQ281bXcxTnlJVG5XeGFVeUxmQXN3fn4%3D&chksm=87778542b0000c54e3c568566f157fbdc8d8eace148337aac3b6b6e0d763a46a2e314ff31210,Gemini重大更新：能翻邮件能查搜索记录，AI开始记住你的一切,解析异常,未提取日期,2026-04-16 21:16:11
DeepTech深科技,https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&tempkey=MTM3MF9iUndidyt2WnFWY0ZOSlNtVlNXOVJpeVhwZWFoZlBLVURFYm5VNjNYcU14QkZaZUpZS3Rad05mWXNlMk0zN0UyVVNKS3paMzJ6NHlfNmhKYW1WLVVvUExGQ0h1eVpLQ29sZmJXc08tSVFGQmFuVzlFNGRWSGJ1YzhkSUlWQ0tHd2h5QlNSUF9qVlFEbmpHdWdZejRQdmtsb1dSdGNGZTItNGx3dG1nfn4%3D&chksm=877785eab0000cfcb405277f0a46d77c1f265e9e30e77d7fa29b35f4183d60c13c4209afecc6,深度解读“下一代核能”：当AI开始抢电，全世界重新押注核电丨2026年十大突破性技术,解析异常,未提取日期,2026-04-16 21:16:11
DeepTech深科技,https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&tempkey=MTM3MF8xWnhDb2tkOWtaUURPWjFRVlNXOVJpeVhwZWFoZlBLVURFYm5VNjNYcU14QkZaZUpZS3Rad05mWXNlMHcxbHRtakZUc0loV0pVWHY3M0lMWHJqdjVGdWhKUk9scExqVHoxb2ZXdFZBTVJSa2JnOHEwdlJiRlptZEUtWHFVd2pwMFUwbnlGbi1CQVFHazg2c1ZCYmUxTW9nMDhzSjlvTWJxMGZ3SVJRfn4%3D&chksm=87778617b0000f0106f3bc2f7ae1e6698ddd816cea875f4ed5da082514e495dc6effc254fb58,GPT独立破解数论猜想的背后：答案藏在80年前的论文里,解析异常,未提取日期,2026-04-16 21:16:11
MindCode,https://mp.weixin.qq.com/s?__biz=MzAxNTYwMzcyNw==&tempkey=MTM3MF9ReVYrUnNGQm54eWpmY1g2VDJ2UGpiNGs0OTRnUEJsTGY2MHJwZFRvdGlETnpkdmpZcEN3amM4NjNJQ2hjR0lJc3FKUnllR21XOWVLd3dRaWJSUExyY3ZTblFUSl9tVE4za25PZlh6NUV6RlN4bE9wa1FMM1lCeHVIZWNIem5NQ21yOG1JTUFtLTRtdzJmc3lmbndwdGpTaDlRckVkV3N4X2lHeXhnfn4%3D&chksm=9b80c8e1acf741f7f1c05e8c8779ff420439ba7949d38963fc0458a422c51d9e524cabf17c9a,MindCode企图心俱乐部正在恢复原价中…，已经有不少人加入了,解析异常,未提取日期,2026-04-16 21:21:07
