标题,日期,星期,链接,来源,标记,消息序号,记录时间
,,,https://mp.weixin.qq.com/s,微信,,787,2026-03-01 01:33:22
Nano Banana 2对决Pro纯享版，我跑完了20个真实案例和提示语！,20260228,周六,https://mp.weixin.qq.com/s/AQICxmMU-WugCkXLGaRxXw,微信-卡尔的AI沃茨,,819,2026-03-01 01:33:22
效率革命！成本减半、速度翻倍，新王Nano Banana2在Lovart登基!,20260227,周五,https://mp.weixin.qq.com/s/Q6DMNf-aIXmRKLCr_NH8Zg,微信-AI变革,,844,2026-03-02 18:11:46
未来1500天，影视行业的钱会被这1%的人赚走？,20260227,周五,https://mp.weixin.qq.com/s/ijZyuHyubiX7Dp1tJrxZOw,微信-36氪,,847,2026-03-02 18:11:46
硅谷正在给 Agent 发三件套：银行卡、工牌和行车记录仪（交易×授权×审计），或许是下一波 AI 爆发点,20260223,周一,https://mp.weixin.qq.com/s/1LDN2OCubfYD9y8m9jH1Yw,微信-硅基杠杆 OS,,857,2026-03-02 18:11:46
OpenClaw 省钱指南：从月烧到月花10 的完整攻略,20260226,周四,https://mp.weixin.qq.com/s/Q1UsavCLoSlNy6FF_MbDig,微信-i 小声读书,,864,2026-03-02 18:11:46
,,,https://mp.weixin.qq.com/s,微信,,866,2026-03-02 18:11:46
,,,https://mp.weixin.qq.com/s,微信,,869,2026-03-02 18:11:46
《人工智能在医疗保健与生命科学领域的应用现状及2026年趋势》,20260302,周一,https://mp.weixin.qq.com/s/jXbYZ9bQXx1DZvwgc-BT_g,微信-数字医疗,,893,2026-03-02 18:11:46
Agent接管行动权，商业和人的价值正在重写,20260228,周六,https://mp.weixin.qq.com/s/6k61VZ2XkhFG9mh2d7Q3NQ,微信-AGI接口,,897,2026-03-02 18:11:46
知识星球 | 深度连接铁杆粉丝，运营高品质社群，知识变现的工具,,,https://articles.zsxq.com/id_3qlvc836c2kx.html,,,917,2026-03-03 17:30:07
人类最后考试登上Nature：全球50个国家近千名顶尖学者打造的AI测试集,20260303,周二,https://mp.weixin.qq.com/s/467O5f307PqH-zXql7IBdg,微信-算泥,,962,2026-03-03 17:30:07
Claude全球宕机，机房爆炸！美财政部全面停用，恐遭英伟达断供,20260303,周二,https://mp.weixin.qq.com/s/5tbEgxZ7iiW243yYRaJMhw,微信-新智元,,985,2026-03-03 17:36:56
高级OpenClaw第一步！先用12个Skills把联网搜索做到极致,20260303,周二,https://mp.weixin.qq.com/s/8HI7nVi_wOVGS8L4zQEIQQ,微信-卡尔的AI沃茨,,995,2026-03-03 23:50:26
扣子 X OpenClaw高玩集结！全网超人气博主，直播带你养虾！,20260303,周二,https://mp.weixin.qq.com/s/rOlITJ54hpF2XYFSTB4UOQ,微信-扣子Coze,,1012,2026-03-04 22:23:15
Claude Code + 开源工具的暴力工作流，下次直接躺赢,20260303,周二,https://mp.weixin.qq.com/s/CCgR1n_G_nl1qOV3dUxD0g,微信-夕小瑶科技说,,1018,2026-03-04 22:23:15
马斯克都惊呼太强！阿里Qwen3.5又一波端侧小模型发布,20260304,周三,https://mp.weixin.qq.com/s/DofmiMJ23rkRLasN-QX5jA,微信-算泥,,1025,2026-03-04 22:23:15
龙虾生态观察V3：Team功能即将爆发，飞书是国内市场最大赢家,20260303,周二,https://mp.weixin.qq.com/s/vlsW8KruG42MfZEDPEWo3A,微信-郎瀚威 Will,,1032,2026-03-04 22:23:15
0-1建AI原生应用，已验证的12条成功规律,20260131,周六,https://mp.weixin.qq.com/s/Eb2jO-eROScLz6Yy-zbxLw,微信-智能实践,,1048,2026-03-04 22:23:15
程益中｜论寻衅滋事与非法经营,20260204,周三,https://mp.weixin.qq.com/s/xdSXoStsez7ls5PAtJWw9g,微信-新新新默存,,9,2026-03-04 23:51:40
硅谷全面“龙虾化”！Anthropic微软Meta和Notion等集体交卷自己的Claw,20260302,周一,https://mp.weixin.qq.com/s/bW8eAUWp4QNkzFpxdtBEig,微信-DataFunTalk,,28,2026-03-04 23:51:40
让 OpenClaw 接管你的主力浏览器：保留登录状态的完整方案,20260226,周四,https://mp.weixin.qq.com/s/5HXiV2v-9v4P3MTr4v7Bdw,微信-指尖攻防,,1081,2026-03-05 05:27:23
用OpenClaw搭跨境电商团队：5个AI员工，跑通全平台矩阵！,20260302,周一,https://mp.weixin.qq.com/s/YmqaoLZlu6_faB_pWwoRWw,微信-饼干哥哥AGI,,1081,2026-03-05 05:27:23
智谱AI龙虾派对：OpenClaw与虾聊的「范式变革」与「未来洞察」 | 虾聊 ClawdChat,20260227,周五,https://clawdchat.cn/post/3cc1f796-d222-4d5f-af77-5d7d8481d3d5,Web_OT,,1085,2026-03-05 06:46:38
卢诗翰的动态 - 哔哩哔哩,,,https://m.bilibili.com/opus/1168509762053079064,APP-哔哩哔哩,,1085,2026-03-05 06:46:38
 即梦 Seedance 2.0 使用手册（全新多模态创作体验）,20260205,周四,https://bytedance.larkoffice.com/wiki/A5RHwWhoBiOnjukIIw6cu5ybnXQ,飞书OT分享,,1085,2026-03-05 06:46:38
From Entropy to Epiplexity: Rethinking Information for Computationally Bounded Intelligence,20260106,周二,https://arxiv.org/abs/2601.03220,Web-arxiv,,1085,2026-03-05 06:46:38
OpenClaw创始人Peter Steinberger加入OpenAI报告 - Dobby.now,,,https://dobby.now/community/view/c1cd69d3-5fc9-46b2-834e-d33b208d7e6a,Web_OT,,1085,2026-03-05 06:46:38
Claude AI 在 Operation Epic Fury 中的角色 | 深度报告 - Dobby.now,,,https://dobby.now/community/view/e93b8d94-7661-408f-ad6e-18b604483cff,Web_OT,,1085,2026-03-05 06:46:38
可能是AI行业影响极大的一个新闻，甚至可能不止AI行业,20260212,周四,https://m.bilibili.com/opus/1168509762053079064,APP-哔哩哔哩,,1087,2026-03-05 07:06:56
OpenClaw高级使用经验之如何调用Claude Code最省Token！2026年最强生产力！Claude Code Hooks回调+Agent Teams实现全自动开发零轮询方案详解！效率神器 - YouTube,,,https://m.youtube.com/watch?v=iJEfIc1mrsc,Web-Youtube,,1087,2026-03-05 07:06:56
OpenClaw创始人Peter Steinberger加入OpenAI报告 - Dobby.now,,,https://dobby.now/community/view/c1cd69d3-5fc9-46b2-834e-d33b208d7e6a,Web_OT,,1087,2026-03-05 07:06:56
Claude AI 在 Operation Epic Fury 中的角色 | 深度报告 - Dobby.now,,,https://dobby.now/community/view/e93b8d94-7661-408f-ad6e-18b604483cff,Web_OT,,1087,2026-03-05 07:06:56
,,,https://cs.cloud.tencent.com/workbench/?cid=ww48dc9b0429412b39&type=posterShare&id=2028379247501197313,Web_OT,,1087,2026-03-05 07:06:56
,,,https://cs.cloud.tencent.com/workbench/material/marketing/poster-share/ww48dc9b0429412b39?cid=ww48dc9b0429412b39&type=posterShare&id=2028379247501197313,Web_OT,,1087,2026-03-05 07:06:56
手机要大变样了！中国AI在MWC 26卷起来了,20260305,周四,https://mp.weixin.qq.com/s/cfwJWMwtCIudtiPVu7O-yg,微信-IT时报,,1110,2026-03-05 19:06:26
马斯克频繁为中国AI站台，真相被忽略了,20260304,周三,https://mp.weixin.qq.com/s/TnnGpPIJTDTG8-1TOt_Inw,微信-版面之外,,1132,2026-03-06 19:53:36
用上新的GPT5.4和GPT-5.4 Pro了，Claude Max要不退我点钱吧。,20260306,周五,https://mp.weixin.qq.com/s/V50mdlJXOge5Iz_v-qGNPw,微信-卡尔的AI沃茨,,1149,2026-03-06 19:53:36
张一鸣，中国首富,20260305,周四,https://mp.weixin.qq.com/s/BJXgHfYOGaYBkBumhMKt3g,微信-澎湃新闻,,52,2026-03-06 19:56:02
郑栅洁：“十五五”末人工智能相关产业规模将增长到10万亿元以上,20260306,周五,https://mp.weixin.qq.com/s/8-dHZl-dz1HMPpPsuS9dQw,微信-财联社,,1240,2026-03-07 05:15:57
考倒大模型合集(上)：春晚之外，AI 尚不能解决的那些问题,20260219,周四,https://mp.weixin.qq.com/s/NPWXKdkEO1lgByS-1wzeNw,微信-知乎AI先行者,,1241,2026-03-07 05:15:57
AI 还没学会，如何徒手画一匹马,20260223,周一,https://mp.weixin.qq.com/s/fVcBkC1gXuOaOKsgR45CBQ,微信-知乎AI先行者,,1243,2026-03-07 05:15:57
豆包和夸克为我的核磁报告吵了一晚,20260226,周四,https://mp.weixin.qq.com/s/7GBznWxw7DY7MdUcKGQDWw,微信-知乎AI先行者,,1244,2026-03-07 05:15:57
今日头条,,,https://m.toutiao.com/article/7613342588384412195/,头条OT,,1260,2026-03-07 05:15:57
《2026年医疗若干趋势：有效应用人工智能的战略要务》,20260307,周六,https://mp.weixin.qq.com/s/qgDWJWgDeqU6ZBpw7vDOTQ,微信-数字医疗,,1284,2026-03-08 00:01:04
华人AI专家被Meta从苹果挖走，只呆7个月，2亿又被OpenAI挖走,20260306,周五,https://mp.weixin.qq.com/s/0lzBnLjIxoJfUNPu4JLgVw,微信-AI变革,,1288,2026-03-08 00:01:04
OpenClaw 生态正在疯长，我们拆解了 PH 上 40 多款相关产品,20260308,周日,https://mp.weixin.qq.com/s/YTOXjEGX8Sliyx9T5qGr_w,微信-Founder Park,,1321,2026-03-09 04:16:05
OpenClaw 生态正在疯长，我们拆解了 PH 上 40 多款相关产品,20260308,周日,https://mp.weixin.qq.com/s/YTOXjEGX8Sliyx9T5qGr_w,微信-Founder Park,,1323,2026-03-09 04:16:05
Agent支付的协议战争：谁来定义Agent基础设施（万字）,20260309,周一,https://mp.weixin.qq.com/s/WNbEGrozJwyn4DkF_V5tdw,微信-AIGC从0到1,,1343,2026-03-09 04:16:05
《医学可解释性与大语言模型知识图谱》,20260308,周日,https://mp.weixin.qq.com/s/gVk14gmRIVd8RmhQtqZGcA,微信-数字医疗,,1346,2026-03-09 18:45:19
傅盛下播躺床上，让我和他的龙虾谈——6小时后网页上线了,20260306,周五,https://mp.weixin.qq.com/s/eaM7_lnAETkNCIwNB4Qdew,微信-郎瀚威 Will,,1351,2026-03-09 18:45:19
"微信直接操作OpenClaw,实测腾讯亲儿子QClaw，一键本地部署启动",20260309,周一,https://mp.weixin.qq.com/s/vyabrIUPyDsvXVLHi1vevA,微信-摸鱼小李,,1374,2026-03-09 18:45:19
AI首先会抢掉谁的饭碗，哪些行业还有一线生机？,20260309,周一,https://mp.weixin.qq.com/s/xV9kHvhjrb9MpE1iqprDBg,微信-勇说数智,,1379,2026-03-09 18:45:19
手把手教你启动自己的OPC：案例说明、7个步骤，5大机会！,20260310,周二,https://mp.weixin.qq.com/s/8ParTKxQUVL8EotFqRILPA,微信-勇说数智,,1410,2026-03-10 22:34:32
腾讯全系“龙虾”产品矩阵来了，个人可直接调用,20260310,周二,https://mp.weixin.qq.com/s/7scfaabhJETu42G-AkpZ8Q,微信-腾讯,,1415,2026-03-10 22:34:32
手把手教你启动自己的OPC：案例说明、7个步骤，5大机会！,20260310,周二,https://mp.weixin.qq.com/s/8ParTKxQUVL8EotFqRILPA,微信-勇说数智,,1420,2026-03-10 22:34:32
企业微信正式接入 OpenClaw｜手把手教程,20260309,周一,https://mp.weixin.qq.com/s/y7JEG-inGA57nwlJk9k8KQ,微信-赛博禅心,,1475,2026-03-11 20:14:43
Claude悄悄更新了Skills生成器，这绝对是一次史诗级升级。,20260311,周三,https://mp.weixin.qq.com/s/vjMG8i7DwQ7R2B1C4AVQdA,微信-数字生命卡兹克,,1493,2026-03-11 20:14:43
智能体原生：企业软件架构演进的下一站,20260311,周三,https://mp.weixin.qq.com/s/EIAPzsA1By5E40jOykGL9A,微信-光哥说AI,,1509,2026-03-11 20:14:43
官方频发“龙虾”风险提示，360推出全网首份OpenClaw安全部署指南,20260311,周三,https://mp.weixin.qq.com/s/Cm5JgNRoQZy9pjqJKD2cCw,微信-360数字安全,,1521,2026-03-13 14:20:32
"OpenAI、Google、Meta、NVIDIA、李飞飞说的""世界模型""，是四件不同的事",20260311,周三,https://mp.weixin.qq.com/s/keEA3vhU4XhP-kOeJY_bLQ,微信-降临派手记,,1589,2026-03-13 14:20:32
【1.2万字研报】OpenClaw战略研究：中国AI Agent市场的竞争格局与路径选择,20260313,周五,https://mp.weixin.qq.com/s/RBRqYAhNxr_WEOQV0qJcaA,微信-AIGC从0到1,,1618,2026-03-13 14:20:32
实测AI浏览器Tabbit一周后，这就是我OpenClaw的新最佳拍档！,20260313,周五,https://mp.weixin.qq.com/s/_8e6mjOMDfXft-zFHihyRw,微信-卡尔的AI沃茨,,1662,2026-03-14 06:07:12
万字拆解｜a16z全球百大消费级AI应用报告：Openclaw引领智能体时代，AI大变局与底层重构，中美俄彻底走向“平行宇宙”，AI将彻底接管工作,20260311,周三,https://mp.weixin.qq.com/s/O0Ov0nuZ2y1k1-2AWdTLHw,微信-Web3天空之城,,1723,2026-03-15 21:13:14
Meta收购了龙虾交友平台Moltbook，字节打造了中国龙虾狂欢地,20260313,周五,https://mp.weixin.qq.com/s/xxNEg0_1eHd80skpy7ne9g,微信-算泥,,1726,2026-03-15 21:13:14
OpenClaw杀进中国医疗圈，掀翻千亿市场！全球首个医疗Agent OS来了,20260314,周六,https://mp.weixin.qq.com/s/VIvzrBbfK16GSaBK5NW16A,微信-新智元,,1772,2026-03-16 01:01:24
万字解析 | 从 OpenClaw 出发，重新理解 AI产品,20260307,周六,https://mp.weixin.qq.com/s/6XgcugbHNA5H6IUjhssNVw,微信-糯米鸡AI窝,,1781,2026-03-16 13:07:21
实测 qclaw ：现在微信可以操控你电脑的Claude code来干活了,20260316,周一,https://mp.weixin.qq.com/s/R_Iv5SlwFEq_PPvoXKeWHg,微信-AIGC新知,,1805,2026-03-16 23:22:21
Chrome 146这个更新，杀死了AI浏览器,20260314,周六,https://mp.weixin.qq.com/s/Z_2GVrD15RN6AjcteN2Tpg,微信-AI工程化,,1832,2026-03-17 01:00:49
用OpenClaw把所有网站都CLI一遍！分享9个我龙虾新装的神技能,20260317,周二,https://mp.weixin.qq.com/s/9xHYTGiD_MsQVehuwiR1bA,微信-卡尔的AI沃茨,,1855,2026-03-17 19:01:46
AI洪流势不可挡，意图即应用破局内容创作,20260317,周二,https://mp.weixin.qq.com/s/aeGozMPBCTZCt-muL3_JNA,微信-王吉伟,,1866,2026-03-17 19:01:46
Atom Capital：OpenClaw带来了哪些机会，窗口期还有多久？,20260305,周四,https://mp.weixin.qq.com/s/DaGTN80Il50xc47hR8736Q,微信-Atom Capital,,1899,2026-03-18 15:14:47
养虾必备，腾讯会议Skill来了！,20260318,周三,https://mp.weixin.qq.com/s/KoRQKVUyAlBExAT4Pz5teg,微信-腾讯会议,,1959,2026-03-19 01:00:44
我也去配置了30万人的AI用户池去调研：AI模拟调研如何重构产品开发范式,20260318,周三,https://mp.weixin.qq.com/s/74zgMOYxL1hX7PHvklJEbg,微信-临界创新,,1980,2026-03-19 15:13:31
AI投毒：当算法的信任基石被腐蚀，我们失去了什么？,20260316,周一,https://mp.weixin.qq.com/s/MfAlpxhhk42-yVK1soh-cw,微信-AI变革,,2006,2026-03-19 19:25:39
疯狂安利！LibTV发布，我和我的AI龙虾终于能一起当导演了!,20260318,周三,https://mp.weixin.qq.com/s/BO3NHLCDE20roMCKHjM5yw,微信-AI变革,,2007,2026-03-19 19:25:39
教会OpenClaw做AI视频后，我挖出了5个隐藏玩法！,20260319,周四,https://mp.weixin.qq.com/s/YFy2QM32D-NjFh2SGUFcRw,微信-卡尔的AI沃茨,,2018,2026-03-20 01:01:21
小米又发布三个模型！一手实测来了~,20260319,周四,https://mp.weixin.qq.com/s/9otDDS-QR6UU8SklgVmkYw,微信-刘聪NLP,,2021,2026-03-20 01:01:21
