日报日期,URL,链接文字
20260120,https://mp.weixin.qq.com/s/3y3W9Zi-X7JQaAxolVsISw,美国开始用机器人造房子——Buildroid（多机器人协同平台）进入美国市场，已在阿联酋完成试点部署
20260120,https://mp.weixin.qq.com/s/anXtmUxlrAEBlPPhL-QhnQ,飞书×安克，首款硬件“AI录音豆”
20260120,https://mp.weixin.qq.com/s/cBGzEaunthaAUJZJFaR1cw,与飞书生态的结合：从硬件录音，到软件的智能会议纪要，再到AI知识问答
20260120,https://mp.weixin.qq.com/s/M7JL7LgJm9oRQi3q4ZvMBg,Anthropic，为Claude注入“永久记忆”，AI办公进入新阶段
20260119,https://mp.weixin.qq.com/s/JM1JVFtvhLUn3FVMpoYtRg,MindCode周报57期
20260119,https://t.zsxq.com/184HAdlHE,成长的底层逻辑（3）
20260119,https://m.okjike.com/originalPosts/696b2264c5a1d4e64959c3ef,手搓 Vibecoding 键盘，支持语音输入（1分20秒视频）
20260119,https://www.xiaohongshu.com/discovery/item/6960ca930000000022032b83?source=webshare&xhsshare=pc_web&xsec_token=ABvbTHQ6gPE9DBI-uuKIucNQaWLdWcR7e8UFdcv-LW0jE=&xsec_source=pc_share,AI微电影「破春」（8分42秒）
20260119,https://mp.weixin.qq.com/s/VXg1Yez-4vrk1g5f6drp9w,影智XBOT，在精品咖啡场景下，已实现稳定商业落地
20260119,https://mp.weixin.qq.com/s/lc7UAnY9VxKmWP-HCCAsZQ,a16z是如何运转的
20260119,https://mp.weixin.qq.com/s/e1da4Zm3SYjUFIMZJtbeog,Demis Hassabis预测：有望在5年内见证AGI降临，还差一两个技术突破——世界模型和智能体系统
20260119,https://mp.weixin.qq.com/s/knto2FBNOXK0QLsTAxpy9A,马斯克建成全球首个吉瓦级超算，训练6万亿Grok 5，引发AI算力与电网危机
20260119,https://t.zsxq.com/tONAf,周日换频道（299）_「成长搭子群」内部分享精选24（10个内容点）_20260118
20260118,https://mp.weixin.qq.com/s/P5zrMk41DqrVIUxetJ8idA,只知定“量”分析，不知定“性”分析的管理者，往往看不见未来
20260118,https://t.zsxq.com/vu9X4,https://t.zsxq.com/vu9X4
20260118,https://www.xiaohongshu.com/discovery/item/6965c007000000000b013367?source=webshare&xhsshare=pc_web&xsec_token=ABJv75Vu81ajwMw1RY_a1gABduc24unybFvmL1VSkNsMM=&xsec_source=pc_share,AI莫奈风宣传片「喜鹊看房记：宁波寻屋之旅」（2分钟）
20260118,https://mp.weixin.qq.com/s/zHBpwVXXxUwaho76h2sswA,《卢浮宫小猫》AI视频创作心得分享
20260118,https://weibo.com/1757693565/PgTMY5swa,微博置顶
20260118,https://m.okjike.com/originalPosts/6969ea3d800201ac682059ec,Cursor 的 Lee Robinson发推，解释AI编程工具相关概念、发展史
20260118,https://mp.weixin.qq.com/s/87poege0SQeCsdHcfFIiMw,Hinton成全球第二个百万引用科学家
20260118,https://mp.weixin.qq.com/s/hOF7zS0aG5D9-TN5IYu28g,OpenAI官宣：ChatGPT 将加入广告，免费、低价付费用户，优先体验
20260118,https://mp.weixin.qq.com/s/caDdIc5EcOSxXcmo6I64Dg,虽然ChatGPT周活超过8亿，但用户越多，亏得越多。也不敢涨价——可能是因为DeepSeek。
20260118,https://mp.weixin.qq.com/s/JRlO1INlO4oBiK3fsg1Z7A,麒盛科技创始人唐国海：智能床背后的“数字睡眠版图”
