序号,URL,链接文字,是否重要,周报时间
34,https://t.zsxq.com/xuzeW,（转）黄仁勋11月5号晚台北君悦私人包厢的讲话复盘,否,251108周
35,https://mp.weixin.qq.com/s/cilGL40dERKTg_YWqM1N5A,向黄仁勋汇报的英伟达36人,否,251108周
36,https://mp.weixin.qq.com/s/B0d8Z860wh7zzaOOnKHATg,Ilya接受近10小时庭审，透露奥特曼解雇风波内幕,否,251108周
37,https://mp.weixin.qq.com/s/YAUI6-pKltinFuq4Z5MjHQ,Cursor 的自研模型 Composer-1和Cognition 的快速智能体模型 SWE-1.5，都是基于国产模型微调,否,251108周
38,https://mp.weixin.qq.com/s/PjQgTgEjcxCATHnq9ZeLMQ,红杉美国换帅,否,251108周
39,https://mp.weixin.qq.com/s/Yg55nD7bEAONPfoehAYG0g,微软AI新天团曝光（ 17名核心高管阵容）,否,251108周
40,https://mp.weixin.qq.com/s/ortnQKNreGaiEXKKw9kwsA,突发！arXiv CS新规：未经同行评审，一律不收,否,251108周
41,https://mp.weixin.qq.com/s/SCLTa13c6gYXbLc7MDEV4w,LMArena重塑，AI模型评估标准，动态评测机制引发行业变革,否,251108周
42,https://mp.weixin.qq.com/s/K4CiX5tqhY33pD1VUeFsvA,豆包、Kimi等10个AI大模型，勇闯美股,否,251108周
43,https://rockalpha.rockflow.ai/trading-hub,围观地址,否,251108周
44,https://mp.weixin.qq.com/s/YsILMMbYO1p9cYDa65yerg,联合 OpenAI 发布 ACP，Stripe 是如何思考 Agent 支付的？,否,251108周
45,https://mp.weixin.qq.com/s/SiOkSc7oqzPJV555kDVgVw,理想VLA的自我证明,否,251108周
46,https://mp.weixin.qq.com/s/TU1_YZiCV59TLGiPu2ATpQ,"曾被问“有AI产品经理课程推荐吗？”,   我都说没有， 直到发现了这个……",否,251108周
47,https://mp.weixin.qq.com/s/xlRKXIUs6ohkbSdgzRHEfA?click_id=162,汉阳科技，十年攻坚扫雪机器人，模块化战略面临市场考验,否,251108周
48,https://mp.weixin.qq.com/s/-H4sR7i3wkrfzBJbZdp95Q,智元机器人，一年猛投 15 家创企、成立 17 家合资公司，打造产业集群,否,251108周
49,https://mp.weixin.qq.com/s/zMe4g_BwOk9BDoPpXLaPcg,AI基础设施的三大张力——资本、空间与时间的系统性悖论,否,251108周
50,https://mp.weixin.qq.com/s/o9PqiGC9I9BQSVG-NJ3IHw,国产ERP巨头用友、金蝶市值相仿，却一亏一赚？,否,251108周
51,https://mp.weixin.qq.com/s/JL65ktYtHIRWasf3MwTJKg,中国首起“苹果税”维权案，进入关键阶段,否,251108周
52,https://mp.weixin.qq.com/s/P49r92690_H7mLCtz6837Q,近期新增8个AI产品经理JD（共计93个，投递方式见文末）,否,251108周
